DL,DP,HE,HK,HL,PU,SE,SL,WEIGHT,MOTORIZED_PIECES_COUNT,TOTAL_VOLUME_CUBIC_FOOT,HAZMAT_FLAG,FREEZABLE_FLAG,NODE_VISIT_CNT,dock_availability_indicator,forklift_availability_indicator,customer_location_type,DWELL_TIME
1,0,0,0,0,0,0,0,1611,1,190.5,FALSE,FALSE,31,Y,Y,Business/Commercial,27.4
0,0,0,0,0,1,0,0,1512,2,309.44,FALSE,FALSE,242,Y,Y,Distribution Center,27.45
0,0,0,0,0,1,0,0,13369,10,618.82,FALSE,FALSE,55,Y,Y,Business/Commercial,52.183333
1,0,0,0,0,0,0,0,389,0,183.18,FALSE,FALSE,11,Y,N,Business/Commercial,30.016667
1,0,0,0,0,0,0,0,841,1,74.62,FALSE,FALSE,25,Y,Y,Business/Commercial,53.75
1,0,0,0,0,0,0,0,1343,2,362,FALSE,FALSE,18,Y,Y,Business/Commercial,29.933333
1,0,0,0,0,0,0,0,1049,1,218.66,FALSE,FALSE,8,N,N,Business/Commercial,16.916667
1,0,0,0,0,0,0,0,866,1,245.01,FALSE,FALSE,14,U,N,U,35.2
1,0,0,0,0,0,0,0,377,1,365.22,FALSE,FALSE,9,N,N,Business/Commercial,29.483333
1,0,0,0,0,0,0,0,960,1,220.66,FALSE,FALSE,12,U,N,U,31.383333
1,0,0,0,0,0,0,0,1124,1,303.04,FALSE,FALSE,60,Y,N,Distribution Center,54.216667
1,0,0,0,0,0,0,0,959,1,255.65,FALSE,FALSE,43,Y,N,Business/Commercial,40.833333
1,0,0,0,0,0,0,0,269,1,79.55,FALSE,FALSE,93,Y,Y,Business/Commercial,18.7
1,0,0,0,0,0,0,0,610,1,126.09,FALSE,FALSE,48,N,Y,Business/Commercial,13.866667
1,0,0,0,0,0,0,0,1924,1,131.53,FALSE,FALSE,8,N,Y,Business/Commercial,22.066667
0,0,0,0,0,3,0,0,29088,18,1365.98,FALSE,FALSE,127,Y,Y,Distribution Center,133.883333
1,0,0,0,0,0,0,0,190,1,329.66,FALSE,FALSE,51,Y,Y,Business/Commercial,21.783333
1,0,0,0,0,0,0,0,332,0,72.12,FALSE,FALSE,84,N,Y,Business/Commercial,41.183333
2,0,0,0,0,0,0,0,1697,2,473.1,FALSE,FALSE,16,N,N,Business/Commercial,24.2
1,0,0,0,0,0,0,0,352,1,407.04,FALSE,FALSE,25,N,Y,Business/Commercial,20.1
0,0,0,0,0,1,0,0,1797,2,310.37,FALSE,FALSE,127,Y,Y,Business/Commercial,39.8
1,0,0,0,0,0,0,0,167,0,202.08,FALSE,FALSE,132,Y,Y,Business/Commercial,26.016667
0,0,0,0,0,2,0,0,3224,3,416.64,FALSE,FALSE,101,Y,Y,Business/Commercial,65.783333
0,0,0,0,0,1,0,0,1259,1,525.08,FALSE,FALSE,76,Y,Y,Business/Commercial,22.983333
0,0,0,0,0,2,0,0,1626,1,226.12,FALSE,FALSE,114,Y,Y,Business/Commercial,44.1
1,0,0,0,0,0,0,0,499,1,140.39,FALSE,FALSE,17,Y,Y,Business/Commercial,35.733333
1,0,0,0,0,0,0,0,426,1,55.47,FALSE,FALSE,23,Y,Y,Business/Commercial,27.016667
1,0,0,0,0,0,0,0,1917,1,253.43,FALSE,FALSE,26,Y,Y,Business/Commercial,31.016667
1,0,0,0,0,0,0,0,524,1,216.51,FALSE,FALSE,23,Y,Y,Business/Commercial,23.783333
1,0,0,0,0,0,0,0,583,1,481.95,FALSE,FALSE,20,N,Y,Business/Commercial,30
0,0,0,0,0,1,0,0,6839,3,584.87,FALSE,FALSE,6,U,Y,U,49.866667
1,0,0,0,0,0,0,0,1193,1,103.33,FALSE,FALSE,8,N,Y,Business/Commercial,24.683333
1,0,0,0,0,0,0,0,1674,2,77.6,FALSE,FALSE,44,Y,Y,Business/Commercial,17.4
0,0,0,0,0,1,0,0,9954,4,396.44,FALSE,FALSE,20,Y,Y,Business/Commercial,23.55
3,0,0,0,0,0,0,0,946,3,273.25,FALSE,FALSE,47,N,Y,Business/Commercial,31.583333
1,0,0,0,0,0,0,0,874,1,391.37,FALSE,FALSE,19,Y,Y,Business/Commercial,29.55
1,0,0,0,0,0,0,0,1353,1,581.98,FALSE,FALSE,14,N,N,University/College,24.833333
0,0,0,0,0,1,0,0,1091,1,505.08,FALSE,FALSE,118,Y,Y,Business/Commercial,44.3
0,0,0,0,0,1,0,0,2982,1,116.96,FALSE,FALSE,26,Y,Y,Business/Commercial,14.266667
1,0,0,0,0,0,0,0,871,1,341,FALSE,FALSE,36,Y,Y,Business/Commercial,25.283333
1,0,0,0,0,0,0,0,370,1,296,FALSE,FALSE,11,N,Y,Residential: Business Operating Within a Private Residence,27.033333
1,0,0,0,0,0,0,0,764,0,344.64,FALSE,FALSE,13,N,Y,Business/Commercial,31.016667
1,0,0,0,0,0,0,0,814,1,309.42,FALSE,FALSE,18,Y,Y,Business/Commercial,33.35
1,0,0,0,0,0,0,0,2731,1,354.46,FALSE,FALSE,7,N,Y,Business/Commercial,62.083333
0,0,0,0,0,1,0,0,5118,6,413.22,FALSE,FALSE,69,Y,Y,Business/Commercial,36.2
1,0,0,0,0,0,0,0,431,1,343,FALSE,FALSE,15,N,N,Business/Commercial,58.566667
0,0,0,0,0,2,0,0,4141,6,638.22,FALSE,FALSE,167,N,Y,Distribution Center,35.7
1,0,0,0,0,0,0,0,481,1,499.92,FALSE,FALSE,20,Y,Y,Business/Commercial,19.8
0,0,0,0,0,2,0,0,5156,2,526.16,FALSE,FALSE,172,Y,Y,Business/Commercial,112.5
0,0,0,0,0,1,0,0,1983,3,498.88,FALSE,FALSE,25,Y,Y,Business/Commercial,46.233333
1,0,0,0,0,0,0,0,648,1,368.75,FALSE,FALSE,25,Y,Y,Business/Commercial,55.7
1,0,0,0,0,0,0,0,896,1,304.74,FALSE,FALSE,15,N,N,Business/Commercial,39.066667
5,0,0,0,0,0,0,0,3595,8,1067.98,FALSE,FALSE,114,Y,Y,Business/Commercial,37.75
1,0,0,0,0,0,0,0,10900,5,765.11,FALSE,FALSE,28,Y,Y,Business/Commercial,38.616667
1,0,0,0,0,0,0,0,4799,6,349.95,FALSE,FALSE,8,Y,Y,Business/Commercial,48.716667
1,0,0,0,0,0,0,0,1092,1,300.86,FALSE,FALSE,9,N,Y,Distribution Center,23.316667
1,0,0,0,0,0,0,0,1008,1,175.33,FALSE,FALSE,37,Y,Y,Business/Commercial,28.833333
0,0,0,0,0,3,0,0,5175,13,1590.19,FALSE,FALSE,119,Y,Y,Business/Commercial,45.4
12,0,0,0,0,0,0,0,43350,65,1988,FALSE,FALSE,214,Y,Y,Business/Commercial,60.75
0,0,0,0,0,16,0,0,4246,16,1131.08,FALSE,FALSE,209,Y,Y,Business/Commercial,74.75
1,0,0,0,0,0,0,0,1796,2,223.67,FALSE,FALSE,38,Y,N,Business/Commercial,33.05
2,0,0,0,0,0,0,0,8573,25,684.91,FALSE,FALSE,29,Y,Y,Business/Commercial,20.883333
1,0,0,0,0,0,0,0,394,1,346,FALSE,FALSE,19,Y,N,Business/Commercial,32.65
2,0,0,0,0,0,0,0,3368,5,751.42,FALSE,FALSE,147,Y,Y,Business/Commercial,47.8
1,0,0,0,0,0,0,0,752,1,414,FALSE,FALSE,19,Y,Y,Business/Commercial,19.316667
1,0,0,0,0,0,0,0,1409,1,379.92,FALSE,FALSE,19,Y,Y,Business/Commercial,19.45
0,0,0,0,0,1,0,0,2106,1,106.56,FALSE,FALSE,210,Y,Y,Business/Commercial,31.833333
1,0,0,0,0,0,0,0,917,1,250.08,FALSE,FALSE,25,Y,Y,Business/Commercial,31.133333
2,0,0,0,0,0,0,0,1179,4,191.31,FALSE,FALSE,129,Y,Y,Business/Commercial,45.366667
2,0,0,0,0,0,0,0,2723,2,589.96,FALSE,FALSE,14,Y,Y,Business/Commercial,52.466667
1,0,0,0,0,0,0,0,2362,2,562.75,FALSE,FALSE,12,Y,Y,Business/Commercial,39.95
2,0,0,0,0,0,0,0,11544,7,605.9,FALSE,FALSE,69,Y,Y,Grocery Warehouse,23.65
